Line,Pre-Weight,Recipe,Location,Wet Weight,Wet Result,Wet Pass/Fail,Dry Weight,WPP,Pass/Fail,Passes,Flow,Size
S006,44.177,38,A,45.048,862,PASS,45.033,297,1,148,87.879,38
S006,43.648,38,A,44.501,844,PASS,44.492,292,1,146,87.876,38
S006,43.698,38,B,44.514,808,PASS,44.503,279,1,146,82.421,38
S006,43.602,38,C,44.491,880,PASS,44.476,303,1,142,115.361,38
S006,43.571,38,C,44.457,877,PASS,44.441,301,1,142,115.358,38
S006,44.529,38,A,45.403,865,PASS,45.385,297,1,142,96.898,38
S006,43.62,38,A,44.497,868,PASS,44.48,298,1,142,96.913,38
S006,43.546,38,C,44.423,868,PASS,44.409,299,1,142,115.365,38
S006,43.391,38,D,44.222,823,PASS,44.207,283,1,142,96.898,38
S006,43.584,38,B,44.448,855,PASS,44.433,294,1,142,115.375,38
S006,43.649,38,B,44.492,834,PASS,44.48,288,1,142,115.385,38
S006,44.534,38,D,45.395,852,PASS,45.374,291,1,142,96.897,38
S006,44.006,38,C,44.923,908,FAIL,44.902,310,1,142,115.373,38
S006,44.584,38,B,45.443,850,PASS,45.428,292,1,142,115.393,38
S006,43.61,38,A,44.483,864,PASS,44.469,298,1,142,96.904,38
S006,43.603,38,B,44.481,869,PASS,44.466,299,1,142,115.387,38
S006,43.66,38,B,44.533,864,PASS,44.519,298,1,142,115.378,38
S006,43.263,38,D,44.068,797,FAIL,44.057,275,1,142,96.89,38
S006,43.559,38,D,44.389,822,PASS,44.376,283,1,142,96.901,38
S006,44.002,38,B,44.865,854,PASS,44.855,296,1,142,115.388,38
S006,44.359,38,A,45.225,857,PASS,45.204,293,1,142,96.906,38
S006,44.484,38,D,45.338,845,PASS,45.321,290,1,142,96.891,38
S006,43.982,38,C,44.876,885,PASS,44.867,307,1,142,115.384,38
S006,43.955,38,A,44.843,879,PASS,44.823,301,1,146,87.86,38
S006,43.093,38,A,43.932,830,PASS,43.916,285,1,146,87.854,38
S006,43.706,38,A,44.584,869,PASS,44.565,298,1,146,87.868,38
S006,43.917,38,B,44.721,796,FAIL,44.703,272,1,146,82.377,38
S006,44.009,38,C,44.84,823,PASS,44.819,281,1,146,82.378,38
S006,43.845,38,B,44.654,801,FAIL,44.638,275,1,146,83.097,38
S006,43.717,38,D,44.556,830,PASS,44.539,285,1,146,87.854,38
S006,43.831,38,B,44.652,813,PASS,44.637,279,1,146,82.406,38
S006,43.898,38,C,44.709,803,FAIL,44.7,278,1,146,82.377,38
S006,43.922,38,A,44.774,843,PASS,44.76,290,1,146,87.857,38
S006,44.637,38,D,45.523,877,PASS,45.485,294,1,146,87.854,38
S006,43.955,38,A,44.821,857,PASS,44.805,294,1,146,87.853,38
S006,44.136,38,C,44.977,832,PASS,44.957,284,1,146,82.395,38
S006,43.914,38,B,44.732,810,PASS,44.718,279,1,146,82.396,38
S006,43.736,38,A,44.595,850,PASS,44.577,291,1,146,87.853,38
S006,43.505,38,B,44.343,829,PASS,44.329,285,1,146,82.376,38
S006,43.963,38,C,44.788,817,PASS,44.772,280,1,146,82.392,38
S006,43.928,38,A,44.786,849,PASS,44.771,292,1,146,87.866,38
S006,43.585,38,D,44.458,864,PASS,44.446,298,1,146,87.859,38
S006,43.935,38,D,44.792,848,PASS,44.777,292,1,146,87.861,38
S006,43.913,38,A,44.799,877,PASS,44.775,299,1,142,96.893,38
S006,43.187,38,A,43.969,774,FAIL,43.953,265,0,142,96.913,38
S006,44.606,38,D,45.495,880,PASS,45.477,302,1,146,87.849,38
S006,44.571,38,C,45.41,830,PASS,45.397,286,1,146,83.099,38
S006,44.044,38,C,44.868,816,PASS,44.856,281,1,142,114.695,38
S006,44.414,38,D,45.264,841,PASS,45.247,289,1,146,87.864,38
S006,44.387,38,C,45.186,791,FAIL,45.175,273,1,146,83.12,38
S006,43.801,38,C,44.643,833,PASS,44.629,287,1,142,114.854,38
S006,44.518,38,D,45.407,880,PASS,45.391,302,1,142,96.894,38
S006,44.34,38,B,45.165,817,PASS,45.149,280,1,142,115.384,38
S006,43.938,38,B,44.711,765,FAIL,44.704,265,0,142,114.973,38
S006,44.571,38,D,45.419,839,PASS,45.405,289,1,142,96.895,38
S006,44.484,38,C,45.364,871,PASS,45.347,299,1,142,114.951,38
S006,43.934,38,A,44.809,866,PASS,44.775,291,1,142,96.906,38
S006,43.948,38,C,44.835,878,PASS,44.818,301,1,142,115.36,38
S006,44.366,38,A,45.223,848,PASS,45.204,290,1,142,96.915,38
S006,43.949,38,D,44.777,820,PASS,44.762,282,1,142,96.901,38
S006,44.379,38,C,45.249,861,PASS,45.235,297,1,142,115.366,38
